HOUR_RANGE,TAGGING_COUNT,TAGGING_PCT
00:00 - 01:00,8,0.74
01:00 - 02:00,7,0.65
03:00 - 04:00,1,0.09
04:00 - 05:00,1,0.09
05:00 - 06:00,3,0.28
06:00 - 07:00,1,0.09
07:00 - 08:00,13,1.21
08:00 - 09:00,47,4.37
09:00 - 10:00,82,7.63
10:00 - 11:00,81,7.53
11:00 - 12:00,81,7.53
12:00 - 13:00,83,7.72
13:00 - 14:00,73,6.79
14:00 - 15:00,83,7.72
15:00 - 16:00,69,6.42
16:00 - 17:00,54,5.02
17:00 - 18:00,80,7.44
18:00 - 19:00,67,6.23
19:00 - 20:00,59,5.49
20:00 - 21:00,69,6.42
21:00 - 22:00,69,6.42
22:00 - 23:00,33,3.07
23:00 - 24:00,11,1.02
